2025-09-08 11:20:08,411 {'url': '/getitem', 'method': 'GET', 'client_IP': Address(host='127.0.0.1', port=41556)}
2025-09-08 11:22:43,074 {'url': '/getitem', 'method': 'GET', 'client_IP': '127.0.0.1'}
2025-09-08 11:30:22,991 {'url': '/api/getsorteddata', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.006451}
2025-09-08 11:40:08,388 {'url': '/redoc', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000701}
2025-09-08 11:40:08,676 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.009505}
2025-09-08 11:40:27,280 {'url': '/rdoc', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000286}
2025-09-08 11:40:31,361 {'url': '/doc', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000537}
2025-09-08 11:40:34,617 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000276}
2025-09-08 11:40:34,772 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000442}
2025-09-08 11:41:07,828 {'url': '/api/InsertData', 'method': 'POST', 'client_IP': '127.0.0.1', 'response_time': 0.003319}
2025-09-08 11:41:27,488 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000685}
2025-09-08 11:41:27,593 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.009927}
2025-09-08 11:53:51,153 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000568}
2025-09-08 11:53:51,317 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.011308}
2025-09-08 11:54:38,138 {'url': '/api/InsertData', 'method': 'POST', 'client_IP': '127.0.0.1', 'response_time': 0.000705}
2025-09-08 11:56:40,296 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000677}
2025-09-08 11:56:40,456 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.011701}
2025-09-08 11:57:11,467 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000251}
2025-09-08 11:57:11,530 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.006776}
2025-09-08 11:58:56,987 {'url': '/api/InsertData', 'method': 'POST', 'client_IP': '127.0.0.1', 'response_time': 0.000679}
2025-09-08 12:02:21,151 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000453}
2025-09-08 12:02:21,248 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.010839}
2025-09-08 12:06:15,892 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.00034}
2025-09-08 12:06:15,966 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.011882}
2025-09-08 12:12:59,214 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000714}
2025-09-08 12:12:59,389 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.007097}
2025-09-08 12:14:30,955 {'url': '/api/InsertData', 'method': 'POST', 'client_IP': '127.0.0.1', 'response_time': 0.005328}
2025-09-08 12:14:56,252 {'url': '/api/InsertData', 'method': 'POST', 'client_IP': '127.0.0.1', 'response_time': 0.000772}
2025-09-08 12:23:48,139 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000458}
2025-09-08 12:23:48,286 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.006207}
2025-09-08 12:24:31,179 {'url': '/api/InsertData', 'method': 'POST', 'client_IP': '127.0.0.1', 'response_time': 0.015993}
